io.scif.formats.TIFFFormatTest;testTiffWithoutMetadata
io.scif.MetadataTest;testTrailingAxis;testNDFlags;testDownTheMiddle;testNDBasic;testNDPositions;testAdjustingTrailingAxis;testNDPlaneCounts;testAxisCount;testMissingAxes;testAddingAxes
io.scif.img.ImgOpenerTest;testOpenAllImages;testOpenImageRange
io.scif.FakeFormatTest;testIndexedPlanarChannel;testIndexedNonPlanarChannel;testIndexedPlanarChannelManyPlanes;testIndexedManyPlanarChannels;testMisMatchedLengths
io.scif.filters.FilterTest;testSetSource;testDefaultEnabled
io.scif.services.FormatServiceTest;testGetSuffixes
io.scif.formats.KontronFormatTest;testOpenPlane
io.scif.io.TypeDetectionTest;testGZipTypeDetection;testZipTypeDetection
