org.jsoup.nodes.ElementTest;testNormalizesInvisiblesInText
org.jsoup.parser.TokeniserTest;cp1252EntitiesProduceError;cp1252Entities
org.jsoup.helper.W3CDomTest;convertsGoogleLocation;convertsGoogle
org.jsoup.nodes.DocumentTest;testLocation
org.jsoup.nodes.EntitiesTest;quoteReplacements;unescape;escape;unescapeMultiChars
org.jsoup.integration.ParseTest;testNewsHomepage;testSmhBizArticle;testYahooArticle;testGoogleSearchIpod;testNytArticle
