org.jsoup.helper.W3CDomTest;convertsGoogleLocation;convertsGoogle
org.jsoup.parser.AttributeParseTest;moreAttributeUnescapes;strictAttributeUnescapes
org.jsoup.parser.HtmlParserTest;tracksErrorsWhenRequested;noErrorsByDefault;doesNotFindShortestMatchingEntity;relaxedBaseEntityMatchAndStrictExtendedMatch;tracksLimitedErrorsWhenRequested
org.jsoup.nodes.DocumentTest;testLocation
org.jsoup.nodes.EntitiesTest;noSpuriousDecodes;unescape
org.jsoup.parser.TokeniserStateTest;testCharacterReferenceInRcdata
org.jsoup.integration.ParseTest;testNewsHomepage;testYahooArticle;testSmhBizArticle;testGoogleSearchIpod;testYahooJp;testNytArticle;testBaidu;testBinary
